model,R-Precision,NDCG,MAP@5,MAP@10,MAP@20,Precision@5,Precision@10,Precision@20,Recall@5,Recall@10,Recall@20
AutoRec,0.34%,1.20%,0.36%,0.31%,0.26%,0.29%,0.24%,0.19%,0.64%,1.09%,1.68%
BPR,3.04%,6.94%,2.45%,1.92%,1.47%,1.71%,1.23%,0.89%,5.23%,7.11%,9.88%
CDAE,0.32%,1.17%,0.33%,0.30%,0.25%,0.32%,0.24%,0.18%,0.70%,1.09%,1.65%
CML,0.29%,1.50%,0.31%,0.28%,0.25%,0.26%,0.24%,0.23%,0.60%,1.05%,2.16%
NCE-PLRec,1.62%,4.62%,1.52%,1.25%,1.00%,1.19%,0.89%,0.68%,3.05%,4.46%,6.79%
PLRec,1.50%,4.14%,1.41%,1.14%,0.90%,1.05%,0.78%,0.60%,2.72%,3.94%,5.91%
POP,0.29%,1.10%,0.29%,0.27%,0.23%,0.28%,0.22%,0.17%,0.64%,0.92%,1.53%
PureSVD,1.61%,4.06%,1.47%,1.17%,0.90%,1.07%,0.78%,0.56%,2.84%,4.04%,5.71%
VAE-CF,2.94%,6.68%,2.32%,1.83%,1.41%,1.67%,1.21%,0.86%,4.99%,6.94%,9.43%
ACF,2.99%,7.15%,2.39%,1.91%,1.48%,1.74%,1.27%,0.92%,5.25%,7.26%,10.14%
