model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
ACF,Cosine,1,512,0,100,10,3,1E-05,0.0001,1,,100,1,,"[0.0559, 0.0024]","[0.0097, 0.0005]","[0.008, 0.0004]","[0.0069, 0.0003]","[0.0131, 0.0008]","[0.0044, 0.0002]","[0.0218, 0.002]","[0.0602, 0.0033]","[0.0733, 0.0036]","[0.0831, 0.0038]","[0.0424, 0.0028]","[0.1263, 0.0046]"
ACF,Cosine,1,512,0,100,10,3,1E-05,0.0001,1,,200,1,,"[0.0672, 0.0027]","[0.0113, 0.0005]","[0.0093, 0.0004]","[0.0081, 0.0003]","[0.0158, 0.0009]","[0.0051, 0.0002]","[0.0269, 0.0022]","[0.0714, 0.0036]","[0.0864, 0.0039]","[0.0981, 0.0041]","[0.0518, 0.0031]","[0.1468, 0.0048]"
ACF,Cosine,1,512,0,100,10,3,0.0001,0.0001,1,,100,1,,"[0.0606, 0.0024]","[0.0099, 0.0005]","[0.0085, 0.0004]","[0.0074, 0.0003]","[0.013, 0.0008]","[0.005, 0.0002]","[0.0214, 0.0019]","[0.0621, 0.0033]","[0.0774, 0.0037]","[0.0896, 0.0039]","[0.0423, 0.0028]","[0.144, 0.0048]"
ACF,Cosine,1,512,0,100,10,3,0.0001,0.0001,1,,200,1,,"[0.0656, 0.0026]","[0.011, 0.0005]","[0.0091, 0.0004]","[0.008, 0.0003]","[0.0147, 0.0009]","[0.0052, 0.0002]","[0.0246, 0.0021]","[0.0697, 0.0035]","[0.0855, 0.0039]","[0.0977, 0.0041]","[0.0489, 0.003]","[0.1515, 0.0049]"
ACF,Cosine,1,512,0,100,10,3,0.001,0.0001,1,,100,1,,"[0.0459, 0.002]","[0.0077, 0.0005]","[0.0068, 0.0004]","[0.0062, 0.0003]","[0.0101, 0.0007]","[0.0042, 0.0002]","[0.0129, 0.0014]","[0.0453, 0.0028]","[0.0599, 0.0032]","[0.072, 0.0035]","[0.0303, 0.0023]","[0.1168, 0.0043]"
ACF,Cosine,1,512,0,100,10,3,0.001,0.0001,1,,200,1,,"[0.0015, 0.0003]","[0.0002, 0.0001]","[0.0002, 0.0001]","[0.0002, 0.0]","[0.0002, 0.0001]","[0.0002, 0.0]","[0.0002, 0.0002]","[0.001, 0.0004]","[0.0015, 0.0005]","[0.0018, 0.0005]","[0.0005, 0.0003]","[0.0052, 0.0009]"
ACF,Cosine,1,512,0,100,10,4,1E-05,0.0001,1,,100,1,,"[0.0568, 0.0024]","[0.0099, 0.0005]","[0.0081, 0.0004]","[0.007, 0.0003]","[0.0135, 0.0008]","[0.0044, 0.0002]","[0.0223, 0.002]","[0.0614, 0.0033]","[0.074, 0.0036]","[0.0842, 0.0038]","[0.0434, 0.0028]","[0.1287, 0.0046]"
ACF,Cosine,1,512,0,100,10,4,1E-05,0.0001,1,,200,1,,"[0.0681, 0.0027]","[0.0119, 0.0006]","[0.0097, 0.0004]","[0.0083, 0.0003]","[0.0164, 0.0009]","[0.0052, 0.0002]","[0.0269, 0.0022]","[0.0741, 0.0036]","[0.0884, 0.0039]","[0.1003, 0.0041]","[0.0529, 0.0031]","[0.15, 0.0049]"
ACF,Cosine,1,512,0,100,10,4,0.0001,0.0001,1,,100,1,,"[0.06, 0.0024]","[0.0099, 0.0005]","[0.0086, 0.0004]","[0.0075, 0.0003]","[0.0131, 0.0008]","[0.005, 0.0002]","[0.0203, 0.0019]","[0.0628, 0.0034]","[0.0789, 0.0037]","[0.0906, 0.004]","[0.0432, 0.0028]","[0.1439, 0.0048]"
ACF,Cosine,1,512,0,100,10,4,0.0001,0.0001,1,,200,1,,"[0.0015, 0.0003]","[0.0002, 0.0001]","[0.0002, 0.0001]","[0.0002, 0.0]","[0.0002, 0.0001]","[0.0002, 0.0]","[0.0002, 0.0002]","[0.001, 0.0004]","[0.0015, 0.0005]","[0.0018, 0.0005]","[0.0005, 0.0003]","[0.0052, 0.0009]"
