lam,lr,kfac,dfac,beta,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0.001,0.01,3,50,0.2,"[0.0731, 0.0027]","[0.0128, 0.0006]","[0.0106, 0.0004]","[0.0091, 0.0003]","[0.0176, 0.0009]","[0.0055, 0.0002]","[0.0287, 0.0022]","[0.0801, 0.0037]","[0.0965, 0.0041]","[0.1089, 0.0043]","[0.0566, 0.0032]","[0.1607, 0.005]"
0.001,0.005,3,50,0.2,"[0.0767, 0.0029]","[0.0134, 0.0006]","[0.0108, 0.0004]","[0.0092, 0.0004]","[0.0192, 0.001]","[0.0056, 0.0002]","[0.0319, 0.0023]","[0.0845, 0.0039]","[0.0997, 0.0041]","[0.1121, 0.0044]","[0.0629, 0.0034]","[0.1629, 0.0051]"
0.001,0.01,5,50,0.2,"[0.0725, 0.0027]","[0.0129, 0.0006]","[0.0105, 0.0004]","[0.0091, 0.0003]","[0.018, 0.001]","[0.0055, 0.0002]","[0.0286, 0.0022]","[0.08, 0.0037]","[0.096, 0.004]","[0.1093, 0.0043]","[0.0576, 0.0032]","[0.1581, 0.005]"
0.001,0.005,5,50,0.2,"[0.0746, 0.0028]","[0.0129, 0.0006]","[0.0106, 0.0004]","[0.0092, 0.0004]","[0.0183, 0.001]","[0.0056, 0.0002]","[0.0301, 0.0023]","[0.0806, 0.0038]","[0.0979, 0.0041]","[0.1117, 0.0043]","[0.0584, 0.0032]","[0.1629, 0.0051]"
0.001,0.01,7,50,0.2,"[0.0713, 0.0027]","[0.0126, 0.0006]","[0.0103, 0.0004]","[0.0089, 0.0003]","[0.0175, 0.0009]","[0.0053, 0.0002]","[0.0291, 0.0022]","[0.0773, 0.0037]","[0.0937, 0.004]","[0.1068, 0.0042]","[0.0558, 0.0032]","[0.1532, 0.0049]"
0.001,0.005,7,50,0.2,"[0.0748, 0.0028]","[0.0133, 0.0006]","[0.0107, 0.0004]","[0.0092, 0.0003]","[0.0184, 0.001]","[0.0056, 0.0002]","[0.0307, 0.0023]","[0.0824, 0.0038]","[0.0976, 0.0041]","[0.1109, 0.0043]","[0.0592, 0.0033]","[0.1609, 0.005]"
0.001,0.01,3,100,0.2,"[0.0789, 0.0028]","[0.0137, 0.0006]","[0.0111, 0.0004]","[0.0096, 0.0004]","[0.0189, 0.001]","[0.006, 0.0002]","[0.0315, 0.0023]","[0.0859, 0.0039]","[0.1018, 0.0042]","[0.1171, 0.0044]","[0.0608, 0.0033]","[0.1747, 0.0052]"
0.001,0.005,3,100,0.2,"[0.0823, 0.0029]","[0.0143, 0.0006]","[0.0115, 0.0004]","[0.0099, 0.0004]","[0.02, 0.001]","[0.0061, 0.0002]","[0.0345, 0.0024]","[0.0885, 0.0039]","[0.106, 0.0042]","[0.1204, 0.0045]","[0.0641, 0.0034]","[0.1782, 0.0052]"
0.001,0.01,5,100,0.2,"[0.079, 0.0029]","[0.0139, 0.0006]","[0.0113, 0.0004]","[0.0097, 0.0004]","[0.0194, 0.001]","[0.0059, 0.0002]","[0.0321, 0.0023]","[0.0859, 0.0039]","[0.1033, 0.0042]","[0.1171, 0.0044]","[0.0616, 0.0033]","[0.1716, 0.0052]"
0.001,0.005,5,100,0.2,"[0.0821, 0.0029]","[0.0141, 0.0006]","[0.0116, 0.0004]","[0.01, 0.0004]","[0.0202, 0.001]","[0.0061, 0.0002]","[0.0333, 0.0024]","[0.0885, 0.0039]","[0.1071, 0.0043]","[0.1218, 0.0045]","[0.065, 0.0034]","[0.1784, 0.0052]"
0.001,0.01,7,100,0.2,"[0.0782, 0.0029]","[0.0133, 0.0006]","[0.0111, 0.0004]","[0.0094, 0.0004]","[0.0188, 0.001]","[0.0059, 0.0002]","[0.0325, 0.0023]","[0.0828, 0.0038]","[0.1021, 0.0042]","[0.1143, 0.0044]","[0.0597, 0.0033]","[0.1706, 0.0052]"
0.001,0.005,7,100,0.2,"[0.0804, 0.0029]","[0.014, 0.0006]","[0.0113, 0.0004]","[0.0097, 0.0004]","[0.0198, 0.001]","[0.0059, 0.0002]","[0.0339, 0.0024]","[0.0865, 0.0039]","[0.1031, 0.0042]","[0.1172, 0.0044]","[0.0629, 0.0034]","[0.1722, 0.0052]"
0.001,0.01,3,200,0.2,"[0.0789, 0.0028]","[0.0138, 0.0006]","[0.0113, 0.0004]","[0.0099, 0.0004]","[0.0187, 0.001]","[0.0062, 0.0002]","[0.0298, 0.0022]","[0.0851, 0.0038]","[0.1025, 0.0042]","[0.1178, 0.0044]","[0.0593, 0.0033]","[0.1786, 0.0052]"
0.001,0.005,3,200,0.2,"[0.0836, 0.0029]","[0.0144, 0.0006]","[0.0118, 0.0005]","[0.0102, 0.0004]","[0.0202, 0.001]","[0.0064, 0.0002]","[0.0332, 0.0024]","[0.0893, 0.0039]","[0.108, 0.0043]","[0.1229, 0.0045]","[0.0644, 0.0034]","[0.183, 0.0053]"
0.001,0.01,5,200,0.2,"[0.0797, 0.0028]","[0.0139, 0.0006]","[0.0115, 0.0005]","[0.0099, 0.0004]","[0.019, 0.001]","[0.0062, 0.0002]","[0.0312, 0.0023]","[0.0857, 0.0039]","[0.104, 0.0042]","[0.1178, 0.0044]","[0.0604, 0.0033]","[0.1773, 0.0052]"
