model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
ACF,Cosine,1,512,0,100,10,3,1e-05,0.0001,1,,100,1.0,,"[0.0542, 0.0012]","[0.0084, 0.0002]","[0.0074, 0.0002]","[0.0067, 0.0002]","[0.0101, 0.0004]","[0.0047, 0.0001]","[0.0129, 0.0008]","[0.055, 0.0017]","[0.0719, 0.002]","[0.0862, 0.0021]","[0.034, 0.0014]","[0.1484, 0.0027]"
ACF,Cosine,1,512,0,100,10,3,1e-05,0.0001,1,,200,1.0,,"[0.0554, 0.0012]","[0.0087, 0.0003]","[0.0076, 0.0002]","[0.0069, 0.0002]","[0.0107, 0.0004]","[0.0048, 0.0001]","[0.014, 0.0008]","[0.0566, 0.0018]","[0.0732, 0.002]","[0.0873, 0.0021]","[0.0354, 0.0014]","[0.1493, 0.0027]"
ACF,Cosine,1,512,0,100,10,3,0.0001,0.0001,1,,100,1.0,,"[0.0529, 0.0011]","[0.008, 0.0002]","[0.0072, 0.0002]","[0.0066, 0.0002]","[0.0096, 0.0004]","[0.0048, 0.0001]","[0.012, 0.0008]","[0.0521, 0.0017]","[0.0698, 0.0019]","[0.0839, 0.0021]","[0.0317, 0.0013]","[0.1487, 0.0027]"
ACF,Cosine,1,512,0,100,10,3,0.0001,0.0001,1,,200,1.0,,"[0.0534, 0.0012]","[0.0082, 0.0002]","[0.0073, 0.0002]","[0.0067, 0.0002]","[0.01, 0.0004]","[0.0047, 0.0001]","[0.0132, 0.0008]","[0.0532, 0.0017]","[0.0701, 0.0019]","[0.0848, 0.0021]","[0.0333, 0.0014]","[0.1463, 0.0027]"
ACF,Cosine,1,512,0,100,10,3,0.001,0.0001,1,,100,1.0,,"[0.0008, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0001]","[0.0004, 0.0001]","[0.0009, 0.0002]","[0.0012, 0.0003]","[0.0002, 0.0001]","[0.0028, 0.0004]"
ACF,Cosine,1,512,0,100,10,3,0.001,0.0001,1,,200,1.0,,"[0.0008, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0001]","[0.0004, 0.0001]","[0.0009, 0.0002]","[0.0012, 0.0003]","[0.0002, 0.0001]","[0.0028, 0.0004]"
ACF,Cosine,1,512,0,100,10,4,1e-05,0.0001,1,,100,1.0,,"[0.0542, 0.0012]","[0.0084, 0.0002]","[0.0074, 0.0002]","[0.0067, 0.0002]","[0.0101, 0.0004]","[0.0047, 0.0001]","[0.0135, 0.0008]","[0.055, 0.0017]","[0.0713, 0.0019]","[0.0857, 0.0021]","[0.0338, 0.0014]","[0.1472, 0.0027]"
ACF,Cosine,1,512,0,100,10,4,1e-05,0.0001,1,,200,1.0,,"[0.0556, 0.0012]","[0.0087, 0.0003]","[0.0076, 0.0002]","[0.0069, 0.0002]","[0.0108, 0.0004]","[0.0048, 0.0001]","[0.0146, 0.0009]","[0.0563, 0.0017]","[0.0734, 0.002]","[0.0873, 0.0021]","[0.0355, 0.0014]","[0.1487, 0.0027]"
ACF,Cosine,1,512,0,100,10,4,0.0001,0.0001,1,,100,1.0,,"[0.052, 0.0011]","[0.0078, 0.0002]","[0.007, 0.0002]","[0.0064, 0.0002]","[0.0092, 0.0004]","[0.0046, 0.0001]","[0.0119, 0.0008]","[0.0513, 0.0017]","[0.0679, 0.0019]","[0.0828, 0.0021]","[0.0307, 0.0013]","[0.1464, 0.0027]"
ACF,Cosine,1,512,0,100,10,4,0.0001,0.0001,1,,200,1.0,,"[0.054, 0.0011]","[0.0084, 0.0002]","[0.0075, 0.0002]","[0.0068, 0.0002]","[0.0101, 0.0004]","[0.0048, 0.0001]","[0.0128, 0.0008]","[0.0549, 0.0017]","[0.0723, 0.002]","[0.0868, 0.0021]","[0.0333, 0.0014]","[0.1489, 0.0027]"
ACF,Cosine,1,512,0,100,10,4,0.001,0.0001,1,,100,1.0,,"[0.0008, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0001]","[0.0004, 0.0001]","[0.0009, 0.0002]","[0.0012, 0.0003]","[0.0002, 0.0001]","[0.0028, 0.0004]"
ACF,Cosine,1,512,0,100,10,4,0.001,0.0001,1,,200,1.0,,"[0.0008, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0001]","[0.0004, 0.0001]","[0.0009, 0.0002]","[0.0012, 0.0003]","[0.0002, 0.0001]","[0.0028, 0.0004]"
ACF,Cosine,1,512,0,100,10,5,1e-05,0.0001,1,,100,1.0,,"[0.0541, 0.0012]","[0.0083, 0.0002]","[0.0073, 0.0002]","[0.0067, 0.0002]","[0.0102, 0.0004]","[0.0047, 0.0001]","[0.0137, 0.0008]","[0.0546, 0.0017]","[0.0706, 0.0019]","[0.0853, 0.0021]","[0.034, 0.0014]","[0.147, 0.0027]"
ACF,Cosine,1,512,0,100,10,5,1e-05,0.0001,1,,200,1.0,,"[0.0554, 0.0012]","[0.0086, 0.0003]","[0.0075, 0.0002]","[0.0068, 0.0002]","[0.0107, 0.0004]","[0.0048, 0.0001]","[0.0143, 0.0008]","[0.056, 0.0017]","[0.0725, 0.002]","[0.0872, 0.0021]","[0.0355, 0.0014]","[0.1498, 0.0027]"
ACF,Cosine,1,512,0,100,10,5,0.0001,0.0001,1,,100,1.0,,"[0.0517, 0.0011]","[0.0077, 0.0002]","[0.0069, 0.0002]","[0.0064, 0.0002]","[0.0093, 0.0004]","[0.0046, 0.0001]","[0.0119, 0.0008]","[0.0504, 0.0017]","[0.0674, 0.0019]","[0.0821, 0.0021]","[0.031, 0.0013]","[0.1455, 0.0027]"
ACF,Cosine,1,512,0,100,10,5,0.0001,0.0001,1,,200,1.0,,"[0.0535, 0.0012]","[0.0083, 0.0002]","[0.0073, 0.0002]","[0.0066, 0.0002]","[0.0101, 0.0004]","[0.0047, 0.0001]","[0.0133, 0.0008]","[0.0535, 0.0017]","[0.0702, 0.0019]","[0.0844, 0.0021]","[0.0334, 0.0014]","[0.146, 0.0027]"
ACF,Cosine,1,512,0,100,10,5,0.001,0.0001,1,,100,1.0,,"[0.0008, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0001]","[0.0004, 0.0001]","[0.0009, 0.0002]","[0.0012, 0.0003]","[0.0002, 0.0001]","[0.0028, 0.0004]"
ACF,Cosine,1,512,0,100,10,5,0.001,0.0001,1,,200,1.0,,"[0.0008, 0.0001]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0001, 0.0]","[0.0002, 0.0001]","[0.0004, 0.0001]","[0.0009, 0.0002]","[0.0012, 0.0003]","[0.0002, 0.0001]","[0.0028, 0.0004]"
