lam,lr,kfac,dfac,beta,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
1e-05,0.0001,3,50,0.2,"[0.0808, 0.0015]","[0.0134, 0.0003]","[0.0114, 0.0002]","[0.0101, 0.0002]","[0.0172, 0.0005]","[0.0064, 0.0001]","[0.025, 0.0011]","[0.0876, 0.0021]","[0.1105, 0.0024]","[0.1298, 0.0026]","[0.057, 0.0018]","[0.2005, 0.003]"
1e-05,0.001,3,50,0.2,"[0.0812, 0.0015]","[0.0136, 0.0003]","[0.0114, 0.0002]","[0.0102, 0.0002]","[0.0172, 0.0005]","[0.0065, 0.0001]","[0.0246, 0.0011]","[0.0885, 0.0022]","[0.1108, 0.0024]","[0.1302, 0.0026]","[0.057, 0.0018]","[0.2025, 0.0031]"
1e-05,0.0001,5,50,0.2,"[0.0799, 0.0015]","[0.0135, 0.0003]","[0.0114, 0.0002]","[0.01, 0.0002]","[0.0173, 0.0005]","[0.0063, 0.0001]","[0.0252, 0.0011]","[0.0877, 0.0021]","[0.1097, 0.0024]","[0.128, 0.0025]","[0.0571, 0.0018]","[0.1965, 0.003]"
1e-05,0.001,5,50,0.2,"[0.0804, 0.0015]","[0.0134, 0.0003]","[0.0114, 0.0002]","[0.01, 0.0002]","[0.0173, 0.0005]","[0.0064, 0.0001]","[0.0254, 0.0011]","[0.0871, 0.0021]","[0.1099, 0.0024]","[0.1285, 0.0025]","[0.0571, 0.0018]","[0.198, 0.003]"
1e-05,0.0001,7,50,0.2,"[0.0797, 0.0015]","[0.0135, 0.0003]","[0.0114, 0.0002]","[0.01, 0.0002]","[0.0175, 0.0005]","[0.0062, 0.0001]","[0.0268, 0.0012]","[0.0878, 0.0021]","[0.1089, 0.0024]","[0.1262, 0.0025]","[0.0577, 0.0018]","[0.1913, 0.003]"
1e-05,0.001,7,50,0.2,"[0.0778, 0.0015]","[0.013, 0.0003]","[0.0111, 0.0002]","[0.0097, 0.0002]","[0.0168, 0.0005]","[0.0062, 0.0001]","[0.025, 0.0011]","[0.0845, 0.0021]","[0.1062, 0.0023]","[0.1236, 0.0025]","[0.0558, 0.0017]","[0.1904, 0.003]"
1e-05,0.0001,3,100,0.2,"[0.0868, 0.0015]","[0.0144, 0.0003]","[0.0123, 0.0002]","[0.0108, 0.0002]","[0.0186, 0.0005]","[0.0069, 0.0001]","[0.0269, 0.0012]","[0.0934, 0.0022]","[0.1187, 0.0025]","[0.1381, 0.0026]","[0.0612, 0.0018]","[0.2161, 0.0031]"
1e-05,0.001,3,100,0.2,"[0.087, 0.0015]","[0.0145, 0.0003]","[0.0123, 0.0002]","[0.0108, 0.0002]","[0.0185, 0.0005]","[0.0069, 0.0001]","[0.027, 0.0012]","[0.0944, 0.0022]","[0.1194, 0.0025]","[0.139, 0.0026]","[0.0615, 0.0018]","[0.216, 0.0031]"
1e-05,0.0001,5,100,0.2,"[0.087, 0.0015]","[0.0146, 0.0003]","[0.0123, 0.0002]","[0.0108, 0.0002]","[0.0188, 0.0005]","[0.0069, 0.0001]","[0.0277, 0.0012]","[0.0949, 0.0022]","[0.1188, 0.0025]","[0.1382, 0.0026]","[0.0617, 0.0018]","[0.2142, 0.0031]"
1e-05,0.001,5,100,0.2,"[0.0864, 0.0015]","[0.0145, 0.0003]","[0.0123, 0.0002]","[0.0108, 0.0002]","[0.0187, 0.0005]","[0.0069, 0.0001]","[0.0273, 0.0012]","[0.0941, 0.0022]","[0.1184, 0.0025]","[0.1375, 0.0026]","[0.0617, 0.0018]","[0.2134, 0.0031]"
