model,R-Precision,NDCG,MAP@5,MAP@10,MAP@20,Precision@5,Precision@10,Precision@20,Recall@5,Recall@10,Recall@20
POP,0.24%,1.12%,0.21%,0.19%,0.19%,0.17%,0.19%,0.17%,0.46%,0.98%,1.74%
AutoRec,0.31%,1.81%,0.37%,0.36%,0.32%,0.39%,0.32%,0.25%,1.04%,1.69%,2.73%
BPR,1.48%,5.41%,1.27%,1.11%,0.94%,1.07%,0.88%,0.71%,3.23%,5.13%,8.19%
CDAE,0.35%,1.62%,0.36%,0.32%,0.28%,0.33%,0.25%,0.23%,0.85%,1.32%,2.48%
CML,1.18%,3.79%,0.98%,0.81%,0.67%,0.74%,0.59%,0.49%,2.08%,3.26%,5.33%
NCE-PLRec,1.94%,5.69%,1.69%,1.41%,1.14%,1.34%,1.04%,0.77%,3.95%,5.96%,8.61%
PLRec,1.77%,5.14%,1.50%,1.24%,1.00%,1.17%,0.90%,0.68%,3.51%,5.24%,7.72%
PureSVD,1.32%,4.08%,1.16%,0.98%,0.79%,0.93%,0.72%,0.54%,2.81%,4.23%,6.09%
VAE-CF,1.82%,5.62%,1.49%,1.25%,1.02%,1.19%,0.92%,0.71%,3.79%,5.71%,8.51%
WRMF,2.30%,7.83%,1.98%,1.71%,1.43%,1.66%,1.34%,1.04%,5.18%,8.14%,12.33%
MMP,1.79%,5.19%,1.53%,1.28%,1.03%,1.20%,0.92%,0.69%,3.62%,5.38%,7.75%
