model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
ACF,Cosine,1,512,0,100,10,3,1E-05,0.0001,1,,100,1,,"[0.1176, 0.0033]","[0.056, 0.0022]","[0.0545, 0.0019]","[0.0516, 0.0016]","[0.0584, 0.003]","[0.0451, 0.0011]","[0.0557, 0.0023]","[0.0565, 0.0029]","[0.0798, 0.0035]","[0.0993, 0.004]","[0.0304, 0.0021]","[0.1968, 0.0056]"
ACF,Cosine,1,512,0,100,10,3,1E-05,0.0001,1,,200,1,,"[0.1226, 0.0033]","[0.0593, 0.0022]","[0.0571, 0.0019]","[0.055, 0.0017]","[0.0633, 0.003]","[0.0465, 0.0011]","[0.0585, 0.0023]","[0.0605, 0.003]","[0.0846, 0.0036]","[0.1065, 0.0041]","[0.0339, 0.0022]","[0.2026, 0.0056]"
ACF,Cosine,1,512,0,100,10,3,0.0001,0.0001,1,,100,1,,"[0.1382, 0.0034]","[0.072, 0.0027]","[0.07, 0.0023]","[0.0679, 0.0021]","[0.0764, 0.0035]","[0.0578, 0.0015]","[0.0682, 0.0024]","[0.0606, 0.0028]","[0.0866, 0.0034]","[0.11, 0.0039]","[0.033, 0.002]","[0.2214, 0.0054]"
ACF,Cosine,1,512,0,100,10,3,0.0001,0.0001,1,,200,1,,"[0.1322, 0.0035]","[0.069, 0.0026]","[0.0644, 0.0022]","[0.0621, 0.002]","[0.0743, 0.0034]","[0.0529, 0.0014]","[0.0654, 0.0024]","[0.0622, 0.0029]","[0.0847, 0.0035]","[0.1055, 0.0039]","[0.0344, 0.0021]","[0.2115, 0.0056]"
ACF,Cosine,1,512,0,100,10,3,0.001,0.0001,1,,100,1,,"[0.0093, 0.0007]","[0.0056, 0.0006]","[0.0058, 0.0005]","[0.0058, 0.0005]","[0.0059, 0.0009]","[0.0053, 0.0003]","[0.005, 0.0005]","[0.0027, 0.0006]","[0.0044, 0.0007]","[0.0055, 0.0008]","[0.0015, 0.0003]","[0.0158, 0.0014]"
ACF,Cosine,1,512,0,100,10,3,0.001,0.0001,1,,200,1,,"[0.0093, 0.0007]","[0.0056, 0.0006]","[0.0058, 0.0005]","[0.0058, 0.0005]","[0.0059, 0.0009]","[0.0053, 0.0003]","[0.005, 0.0005]","[0.0027, 0.0006]","[0.0044, 0.0007]","[0.0055, 0.0008]","[0.0015, 0.0003]","[0.0158, 0.0014]"
ACF,Cosine,1,512,0,100,10,4,1E-05,0.0001,1,,100,1,,"[0.1209, 0.0033]","[0.0579, 0.0022]","[0.0552, 0.0019]","[0.0537, 0.0017]","[0.06, 0.0029]","[0.0459, 0.0011]","[0.0567, 0.0022]","[0.0585, 0.003]","[0.0816, 0.0036]","[0.1042, 0.0041]","[0.0319, 0.0021]","[0.2027, 0.0056]"
ACF,Cosine,1,512,0,100,10,4,1E-05,0.0001,1,,200,1,,"[0.1239, 0.0034]","[0.058, 0.0022]","[0.0556, 0.0018]","[0.0536, 0.0016]","[0.0618, 0.0029]","[0.0455, 0.0011]","[0.058, 0.0023]","[0.0623, 0.0031]","[0.0853, 0.0037]","[0.1071, 0.0041]","[0.0344, 0.0022]","[0.2065, 0.0057]"
ACF,Cosine,1,512,0,100,10,4,0.0001,0.0001,1,,100,1,,"[0.1401, 0.0035]","[0.0735, 0.0027]","[0.0705, 0.0023]","[0.0672, 0.002]","[0.0786, 0.0035]","[0.0573, 0.0014]","[0.0693, 0.0024]","[0.0641, 0.0028]","[0.0904, 0.0035]","[0.114, 0.004]","[0.0351, 0.0021]","[0.2249, 0.0056]"
ACF,Cosine,1,512,0,100,10,4,0.0001,0.0001,1,,200,1,,"[0.1331, 0.0034]","[0.0709, 0.0027]","[0.0673, 0.0023]","[0.0644, 0.002]","[0.0741, 0.0034]","[0.0549, 0.0014]","[0.0667, 0.0024]","[0.0601, 0.0027]","[0.0849, 0.0033]","[0.1075, 0.0038]","[0.0324, 0.002]","[0.2137, 0.0054]"
ACF,Cosine,1,512,0,100,10,4,0.001,0.0001,1,,100,1,,"[0.0093, 0.0007]","[0.0056, 0.0006]","[0.0058, 0.0005]","[0.0058, 0.0005]","[0.0059, 0.0009]","[0.0053, 0.0003]","[0.005, 0.0005]","[0.0027, 0.0006]","[0.0044, 0.0007]","[0.0055, 0.0008]","[0.0015, 0.0003]","[0.0158, 0.0014]"
ACF,Cosine,1,512,0,100,10,4,0.001,0.0001,1,,200,1,,"[0.0093, 0.0007]","[0.0056, 0.0006]","[0.0058, 0.0005]","[0.0058, 0.0005]","[0.0059, 0.0009]","[0.0053, 0.0003]","[0.005, 0.0005]","[0.0027, 0.0006]","[0.0044, 0.0007]","[0.0055, 0.0008]","[0.0015, 0.0003]","[0.0158, 0.0014]"
ACF,Cosine,1,512,0,100,10,5,1E-05,0.0001,1,,100,1,,"[0.1183, 0.0033]","[0.0564, 0.0022]","[0.0537, 0.0018]","[0.0517, 0.0016]","[0.0592, 0.0029]","[0.0443, 0.0011]","[0.0548, 0.0022]","[0.058, 0.003]","[0.0808, 0.0036]","[0.1013, 0.004]","[0.0321, 0.0022]","[0.1999, 0.0056]"
ACF,Cosine,1,512,0,100,10,5,1E-05,0.0001,1,,200,1,,"[0.1261, 0.0034]","[0.0601, 0.0023]","[0.0574, 0.0019]","[0.0557, 0.0017]","[0.0647, 0.003]","[0.0471, 0.0011]","[0.0595, 0.0023]","[0.0607, 0.003]","[0.0852, 0.0037]","[0.1072, 0.0041]","[0.034, 0.0022]","[0.2087, 0.0057]"
ACF,Cosine,1,512,0,100,10,5,0.0001,0.0001,1,,100,1,,"[0.1421, 0.0035]","[0.0748, 0.0027]","[0.0715, 0.0023]","[0.069, 0.0021]","[0.0792, 0.0036]","[0.0585, 0.0015]","[0.0718, 0.0025]","[0.0639, 0.0028]","[0.0894, 0.0034]","[0.1136, 0.0039]","[0.0353, 0.0021]","[0.227, 0.0055]"
ACF,Cosine,1,512,0,100,10,5,0.0001,0.0001,1,,200,1,,"[0.1404, 0.0034]","[0.076, 0.0027]","[0.0721, 0.0023]","[0.069, 0.0021]","[0.0808, 0.0036]","[0.0584, 0.0015]","[0.0708, 0.0024]","[0.0643, 0.0028]","[0.0893, 0.0033]","[0.1118, 0.0038]","[0.0357, 0.0021]","[0.2226, 0.0054]"
ACF,Cosine,1,512,0,100,10,5,0.001,0.0001,1,,100,1,,"[0.0093, 0.0007]","[0.0056, 0.0006]","[0.0058, 0.0005]","[0.0058, 0.0005]","[0.0059, 0.0009]","[0.0053, 0.0003]","[0.005, 0.0005]","[0.0027, 0.0006]","[0.0044, 0.0007]","[0.0055, 0.0008]","[0.0015, 0.0003]","[0.0158, 0.0014]"
ACF,Cosine,1,512,0,100,10,5,0.001,0.0001,1,,200,1,,"[0.0093, 0.0007]","[0.0056, 0.0006]","[0.0058, 0.0005]","[0.0058, 0.0005]","[0.0059, 0.0009]","[0.0053, 0.0003]","[0.005, 0.0005]","[0.0027, 0.0006]","[0.0044, 0.0007]","[0.0055, 0.0008]","[0.0015, 0.0003]","[0.0158, 0.0014]"
