lam,lr,kfac,dfac,beta,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0.0001,0.0001,3,50,0.2,"[0.1846, 0.0038]","[0.0893, 0.0027]","[0.0862, 0.0023]","[0.0834, 0.0021]","[0.0928, 0.0037]","[0.0714, 0.0014]","[0.0904, 0.0028]","[0.0917, 0.0037]","[0.1286, 0.0044]","[0.1597, 0.0049]","[0.05, 0.0027]","[0.304, 0.0064]"
0.0001,0.001,3,50,0.2,"[0.1854, 0.0039]","[0.0884, 0.0027]","[0.0856, 0.0023]","[0.0824, 0.0021]","[0.0923, 0.0036]","[0.0716, 0.0014]","[0.0896, 0.0029]","[0.0925, 0.0038]","[0.1283, 0.0045]","[0.1602, 0.0049]","[0.0509, 0.0028]","[0.3064, 0.0065]"
0.0001,0.01,3,50,0.2,"[0.187, 0.0039]","[0.0894, 0.0027]","[0.0855, 0.0023]","[0.0833, 0.002]","[0.0944, 0.0037]","[0.0713, 0.0014]","[0.0914, 0.0029]","[0.0939, 0.0038]","[0.1295, 0.0045]","[0.164, 0.0051]","[0.0523, 0.0028]","[0.3067, 0.0064]"
0.0001,0.005,3,50,0.2,"[0.184, 0.0039]","[0.0872, 0.0027]","[0.0843, 0.0023]","[0.0821, 0.002]","[0.0919, 0.0036]","[0.0704, 0.0014]","[0.088, 0.0028]","[0.0914, 0.0038]","[0.1286, 0.0045]","[0.1606, 0.005]","[0.0505, 0.0027]","[0.3038, 0.0064]"
0.001,0.0001,3,50,0.2,"[0.1848, 0.0039]","[0.0886, 0.0027]","[0.0861, 0.0023]","[0.0831, 0.0021]","[0.0921, 0.0036]","[0.0715, 0.0014]","[0.0902, 0.0028]","[0.0921, 0.0037]","[0.1293, 0.0044]","[0.1605, 0.0049]","[0.0505, 0.0027]","[0.3046, 0.0064]"
0.001,0.001,3,50,0.2,"[0.1857, 0.0039]","[0.0885, 0.0027]","[0.0854, 0.0023]","[0.0831, 0.0021]","[0.0927, 0.0037]","[0.0719, 0.0014]","[0.0906, 0.0029]","[0.0923, 0.0038]","[0.1283, 0.0044]","[0.1606, 0.0049]","[0.0504, 0.0027]","[0.305, 0.0064]"
0.001,0.01,3,50,0.2,"[0.1878, 0.0039]","[0.09, 0.0027]","[0.0866, 0.0023]","[0.0834, 0.002]","[0.0935, 0.0036]","[0.0715, 0.0014]","[0.0913, 0.0029]","[0.0958, 0.0039]","[0.1323, 0.0045]","[0.1643, 0.0051]","[0.052, 0.0028]","[0.3098, 0.0065]"
0.001,0.005,3,50,0.2,"[0.1848, 0.0039]","[0.0873, 0.0026]","[0.084, 0.0023]","[0.0818, 0.002]","[0.092, 0.0036]","[0.0711, 0.0014]","[0.089, 0.0028]","[0.092, 0.0038]","[0.1264, 0.0044]","[0.1595, 0.0049]","[0.0506, 0.0027]","[0.3058, 0.0064]"
1e-05,0.0001,3,50,0.2,"[0.1846, 0.0039]","[0.0889, 0.0027]","[0.0858, 0.0023]","[0.0835, 0.0021]","[0.0934, 0.0037]","[0.0715, 0.0014]","[0.0904, 0.0028]","[0.0915, 0.0037]","[0.1279, 0.0044]","[0.1605, 0.0049]","[0.0512, 0.0027]","[0.303, 0.0064]"
1e-05,0.001,3,50,0.2,"[0.1851, 0.0039]","[0.0885, 0.0027]","[0.0859, 0.0023]","[0.0837, 0.0021]","[0.0916, 0.0036]","[0.0716, 0.0014]","[0.0897, 0.0028]","[0.0919, 0.0037]","[0.1284, 0.0044]","[0.1619, 0.0049]","[0.0503, 0.0027]","[0.3045, 0.0064]"
1e-05,0.01,3,50,0.2,"[0.1853, 0.0039]","[0.0876, 0.0027]","[0.0847, 0.0023]","[0.0818, 0.002]","[0.0913, 0.0036]","[0.0709, 0.0014]","[0.0889, 0.0028]","[0.0923, 0.0037]","[0.1287, 0.0044]","[0.1617, 0.005]","[0.0502, 0.0027]","[0.3072, 0.0064]"
1e-05,0.005,3,50,0.2,"[0.1867, 0.0039]","[0.0887, 0.0027]","[0.0862, 0.0023]","[0.0836, 0.002]","[0.0913, 0.0036]","[0.0714, 0.0014]","[0.0909, 0.0029]","[0.0935, 0.0038]","[0.1306, 0.0045]","[0.163, 0.005]","[0.0506, 0.0027]","[0.3073, 0.0064]"
0.0001,0.0001,5,50,0.2,"[0.1867, 0.0039]","[0.091, 0.0028]","[0.0882, 0.0024]","[0.085, 0.0021]","[0.0945, 0.0037]","[0.0722, 0.0015]","[0.0916, 0.0029]","[0.0934, 0.0038]","[0.1317, 0.0045]","[0.1631, 0.005]","[0.0516, 0.0028]","[0.3061, 0.0064]"
0.0001,0.001,5,50,0.2,"[0.1855, 0.0039]","[0.0915, 0.0028]","[0.0877, 0.0023]","[0.0848, 0.0021]","[0.095, 0.0037]","[0.072, 0.0014]","[0.0933, 0.0029]","[0.0929, 0.0038]","[0.1273, 0.0044]","[0.1596, 0.0049]","[0.0514, 0.0028]","[0.2998, 0.0062]"
0.0001,0.01,5,50,0.2,"[0.1872, 0.0039]","[0.0907, 0.0028]","[0.0881, 0.0023]","[0.0853, 0.0021]","[0.0943, 0.0036]","[0.0719, 0.0014]","[0.0921, 0.0029]","[0.0949, 0.0039]","[0.1315, 0.0046]","[0.1638, 0.0051]","[0.0526, 0.0028]","[0.3043, 0.0063]"
0.0001,0.005,5,50,0.2,"[0.1856, 0.0039]","[0.0899, 0.0027]","[0.087, 0.0023]","[0.084, 0.0021]","[0.0952, 0.0037]","[0.0715, 0.0014]","[0.0926, 0.0028]","[0.0925, 0.0037]","[0.1284, 0.0044]","[0.1596, 0.0049]","[0.053, 0.0028]","[0.3, 0.0062]"
0.001,0.0001,5,50,0.2,"[0.1868, 0.0039]","[0.0909, 0.0028]","[0.0869, 0.0024]","[0.0844, 0.0021]","[0.0938, 0.0037]","[0.0723, 0.0015]","[0.0912, 0.0029]","[0.0936, 0.0038]","[0.1298, 0.0045]","[0.1625, 0.005]","[0.0511, 0.0027]","[0.3074, 0.0064]"
0.001,0.001,5,50,0.2,"[0.1862, 0.0039]","[0.0917, 0.0027]","[0.0881, 0.0023]","[0.0852, 0.0021]","[0.0961, 0.0037]","[0.072, 0.0014]","[0.0934, 0.0028]","[0.093, 0.0037]","[0.1281, 0.0044]","[0.1606, 0.0049]","[0.053, 0.0028]","[0.3001, 0.0062]"
0.001,0.01,5,50,0.2,"[0.1878, 0.0039]","[0.0919, 0.0028]","[0.0889, 0.0024]","[0.0855, 0.0021]","[0.0969, 0.0037]","[0.0722, 0.0014]","[0.0935, 0.0029]","[0.0948, 0.0038]","[0.1325, 0.0046]","[0.1642, 0.005]","[0.0533, 0.0028]","[0.3057, 0.0063]"
0.001,0.005,5,50,0.2,"[0.1865, 0.004]","[0.0905, 0.0027]","[0.0865, 0.0023]","[0.0841, 0.0021]","[0.0933, 0.0036]","[0.0712, 0.0014]","[0.0921, 0.0029]","[0.0957, 0.0039]","[0.1301, 0.0045]","[0.1637, 0.005]","[0.0525, 0.0028]","[0.3038, 0.0064]"
1e-05,0.0001,5,50,0.2,"[0.1867, 0.0039]","[0.0909, 0.0028]","[0.0875, 0.0024]","[0.0847, 0.0021]","[0.0948, 0.0037]","[0.0721, 0.0015]","[0.0917, 0.0029]","[0.0939, 0.0038]","[0.1308, 0.0045]","[0.1623, 0.005]","[0.0522, 0.0028]","[0.3065, 0.0064]"
1e-05,0.001,5,50,0.2,"[0.1861, 0.0039]","[0.0908, 0.0028]","[0.0877, 0.0023]","[0.0852, 0.0021]","[0.0957, 0.0037]","[0.0723, 0.0014]","[0.0934, 0.0029]","[0.0932, 0.0038]","[0.1279, 0.0043]","[0.1605, 0.0049]","[0.0522, 0.0028]","[0.3008, 0.0062]"
1e-05,0.01,5,50,0.2,"[0.1862, 0.0039]","[0.091, 0.0027]","[0.0878, 0.0023]","[0.085, 0.0021]","[0.0944, 0.0036]","[0.0713, 0.0014]","[0.0919, 0.0029]","[0.0948, 0.0038]","[0.1318, 0.0046]","[0.1639, 0.0051]","[0.052, 0.0028]","[0.3026, 0.0063]"
1e-05,0.005,5,50,0.2,"[0.1866, 0.004]","[0.0901, 0.0028]","[0.0861, 0.0023]","[0.0835, 0.0021]","[0.0939, 0.0037]","[0.071, 0.0014]","[0.092, 0.0029]","[0.0954, 0.0039]","[0.1312, 0.0046]","[0.1635, 0.0051]","[0.0524, 0.0028]","[0.304, 0.0064]"
0.0001,0.0001,7,50,0.2,"[0.1882, 0.0039]","[0.0919, 0.0028]","[0.0884, 0.0024]","[0.0853, 0.0021]","[0.0962, 0.0038]","[0.0727, 0.0015]","[0.0923, 0.0029]","[0.0944, 0.0038]","[0.1312, 0.0045]","[0.1638, 0.005]","[0.0525, 0.0028]","[0.3085, 0.0064]"
0.0001,0.001,7,50,0.2,"[0.1875, 0.004]","[0.0929, 0.0028]","[0.0894, 0.0024]","[0.0862, 0.0021]","[0.0981, 0.0037]","[0.0717, 0.0014]","[0.0941, 0.0029]","[0.0967, 0.0039]","[0.1332, 0.0045]","[0.1649, 0.005]","[0.0552, 0.0029]","[0.3008, 0.0063]"
0.0001,0.01,7,50,0.2,"[0.1878, 0.004]","[0.0909, 0.0027]","[0.0876, 0.0023]","[0.0846, 0.0021]","[0.0964, 0.0037]","[0.0718, 0.0014]","[0.0927, 0.0029]","[0.0953, 0.0039]","[0.1326, 0.0046]","[0.1642, 0.005]","[0.0537, 0.0029]","[0.3043, 0.0063]"
0.0001,0.005,7,50,0.2,"[0.1866, 0.0039]","[0.0911, 0.0027]","[0.0865, 0.0023]","[0.0837, 0.0021]","[0.0975, 0.0038]","[0.0714, 0.0014]","[0.0933, 0.0029]","[0.095, 0.0038]","[0.1289, 0.0045]","[0.1611, 0.005]","[0.0537, 0.0028]","[0.302, 0.0063]"
0.001,0.0001,7,50,0.2,"[0.1881, 0.0039]","[0.092, 0.0028]","[0.0886, 0.0024]","[0.0858, 0.0021]","[0.0971, 0.0038]","[0.0728, 0.0015]","[0.0928, 0.0029]","[0.095, 0.0038]","[0.1317, 0.0045]","[0.1638, 0.005]","[0.053, 0.0028]","[0.3069, 0.0064]"
0.001,0.001,7,50,0.2,"[0.1866, 0.004]","[0.0916, 0.0028]","[0.0882, 0.0024]","[0.0856, 0.0021]","[0.097, 0.0037]","[0.0718, 0.0015]","[0.0945, 0.0029]","[0.0937, 0.0038]","[0.1301, 0.0045]","[0.162, 0.005]","[0.0533, 0.0028]","[0.299, 0.0063]"
0.001,0.01,7,50,0.2,"[0.1849, 0.0039]","[0.0906, 0.0027]","[0.0868, 0.0023]","[0.0838, 0.002]","[0.0942, 0.0037]","[0.0704, 0.0014]","[0.0915, 0.0029]","[0.0954, 0.0039]","[0.1314, 0.0046]","[0.1633, 0.005]","[0.0528, 0.0028]","[0.2985, 0.0063]"
0.001,0.005,7,50,0.2,"[0.1867, 0.004]","[0.0904, 0.0027]","[0.0865, 0.0023]","[0.0841, 0.0021]","[0.0939, 0.0037]","[0.071, 0.0014]","[0.0916, 0.0028]","[0.0943, 0.0038]","[0.13, 0.0045]","[0.1632, 0.005]","[0.0522, 0.0028]","[0.3041, 0.0064]"
1e-05,0.0001,7,50,0.2,"[0.1884, 0.0039]","[0.0914, 0.0028]","[0.0886, 0.0024]","[0.0861, 0.0021]","[0.0972, 0.0038]","[0.0727, 0.0015]","[0.0925, 0.0029]","[0.0946, 0.0038]","[0.132, 0.0045]","[0.1644, 0.005]","[0.0527, 0.0028]","[0.3081, 0.0064]"
1e-05,0.001,7,50,0.2,"[0.1891, 0.004]","[0.0928, 0.0028]","[0.0894, 0.0024]","[0.0855, 0.0021]","[0.0989, 0.0038]","[0.0725, 0.0014]","[0.0945, 0.0029]","[0.0973, 0.0039]","[0.134, 0.0046]","[0.1652, 0.0051]","[0.055, 0.0029]","[0.3064, 0.0064]"
1e-05,0.01,7,50,0.2,"[0.1854, 0.0039]","[0.0894, 0.0027]","[0.0865, 0.0023]","[0.0841, 0.002]","[0.0924, 0.0036]","[0.0709, 0.0014]","[0.0902, 0.0028]","[0.0944, 0.0039]","[0.1308, 0.0045]","[0.1635, 0.005]","[0.051, 0.0027]","[0.3016, 0.0064]"
1e-05,0.005,7,50,0.2,"[0.1843, 0.0039]","[0.0899, 0.0028]","[0.0853, 0.0023]","[0.0824, 0.002]","[0.0937, 0.0036]","[0.0701, 0.0014]","[0.0913, 0.0029]","[0.095, 0.0039]","[0.1289, 0.0045]","[0.1602, 0.005]","[0.0527, 0.0028]","[0.2993, 0.0063]"
0.0001,0.0001,3,100,0.2,"[0.1872, 0.0039]","[0.0901, 0.0028]","[0.0868, 0.0023]","[0.0844, 0.0021]","[0.0923, 0.0036]","[0.0722, 0.0015]","[0.0907, 0.0029]","[0.0941, 0.0038]","[0.1311, 0.0045]","[0.1642, 0.0051]","[0.0513, 0.0028]","[0.3086, 0.0065]"
0.0001,0.001,3,100,0.2,"[0.1883, 0.004]","[0.0904, 0.0028]","[0.0871, 0.0024]","[0.0847, 0.0021]","[0.094, 0.0037]","[0.0727, 0.0015]","[0.0914, 0.0029]","[0.0933, 0.0038]","[0.1307, 0.0045]","[0.1634, 0.005]","[0.0513, 0.0028]","[0.3093, 0.0065]"
0.0001,0.01,3,100,0.2,"[0.1918, 0.0039]","[0.092, 0.0027]","[0.0895, 0.0023]","[0.0868, 0.0021]","[0.0959, 0.0036]","[0.0734, 0.0014]","[0.092, 0.0028]","[0.0969, 0.0039]","[0.1356, 0.0046]","[0.1693, 0.0051]","[0.0529, 0.0028]","[0.3153, 0.0065]"
0.0001,0.005,3,100,0.2,"[0.1901, 0.0039]","[0.091, 0.0028]","[0.0879, 0.0024]","[0.0854, 0.0021]","[0.096, 0.0037]","[0.0733, 0.0014]","[0.093, 0.0029]","[0.0949, 0.0039]","[0.1322, 0.0045]","[0.166, 0.0051]","[0.0529, 0.0028]","[0.313, 0.0065]"
0.001,0.0001,3,100,0.2,"[0.1874, 0.0039]","[0.0905, 0.0028]","[0.0872, 0.0024]","[0.0844, 0.0021]","[0.0928, 0.0036]","[0.0723, 0.0015]","[0.0918, 0.0029]","[0.0944, 0.0038]","[0.1305, 0.0045]","[0.1635, 0.005]","[0.0518, 0.0028]","[0.3084, 0.0065]"
0.001,0.001,3,100,0.2,"[0.1894, 0.0039]","[0.0916, 0.0028]","[0.0882, 0.0024]","[0.0853, 0.0021]","[0.0945, 0.0037]","[0.0734, 0.0015]","[0.0926, 0.0029]","[0.0954, 0.0038]","[0.1318, 0.0045]","[0.1646, 0.0051]","[0.0519, 0.0028]","[0.3117, 0.0065]"
0.001,0.01,3,100,0.2,"[0.1898, 0.0039]","[0.0914, 0.0028]","[0.0884, 0.0023]","[0.0857, 0.0021]","[0.0959, 0.0037]","[0.0732, 0.0014]","[0.0927, 0.0029]","[0.095, 0.0038]","[0.1327, 0.0046]","[0.1655, 0.0051]","[0.0528, 0.0028]","[0.311, 0.0064]"
