model,R-Precision,NDCG,MAP@5,MAP@10,MAP@20,Precision@5,Precision@10,Precision@20,Recall@5,Recall@10,Recall@20
AutoRec,0.0945,0.1674,0.1254,0.1202,0.1131,0.1194,0.1115,0.1029,0.0377,0.069,0.1215
BPR,0.0933,0.1675,0.1192,0.1153,0.1102,0.1141,0.1094,0.1016,0.0375,0.0692,0.1228
CDAE,0.0941,0.1588,0.1297,0.1234,0.1155,0.1226,0.1143,0.1035,0.035,0.0618,0.1079
CML,0.1,0.1767,0.1356,0.1299,0.1229,0.1297,0.1221,0.1114,0.04,0.0718,0.1265
NCE-PLRec,0.0991,0.179,0.131,0.125,0.1181,0.1248,0.117,0.1071,0.0424,0.0775,0.1358
NCE-SVD,0.0756,0.1409,0.0966,0.093,0.0882,0.0927,0.0872,0.0803,0.0344,0.0619,0.1096
PLRec,0.0953,0.1704,0.1248,0.1198,0.1132,0.1197,0.1116,0.1032,0.0401,0.0719,0.1279
POP,0.0736,0.1225,0.1168,0.1099,0.1031,0.1085,0.0999,0.0934,0.0237,0.0434,0.0841
PureSVD,0.092,0.1644,0.1212,0.1161,0.1098,0.116,0.1079,0.0998,0.0383,0.0693,0.123
VAE-CF,0.0892,0.1634,0.1066,0.1045,0.1006,0.1054,0.1008,0.0942,0.0376,0.0688,0.1207
WRMF,0.097,0.1788,0.1235,0.1193,0.114,0.1198,0.1129,0.1053,0.0411,0.0749,0.1344
MMP,0.1014,0.1791,0.1344,0.13,0.1227,0.1302,0.1225,0.1112,0.0418,0.0762,0.1325
