model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,30,10,3,0.0001,0.0001,1,,25,1.0,,"[0.1525, 0.0036]","[0.088, 0.0032]","[0.0849, 0.0028]","[0.0814, 0.0025]","[0.0932, 0.0041]","[0.0676, 0.0017]","[0.0811, 0.0027]","[0.0662, 0.0029]","[0.0939, 0.0035]","[0.1184, 0.004]","[0.0363, 0.0021]","[0.2323, 0.0054]"
MMP,Cosine,0,32,0.2,30,10,3,0.0001,0.0001,1,,50,1.0,,"[0.1467, 0.0036]","[0.0875, 0.0032]","[0.0827, 0.0027]","[0.0791, 0.0025]","[0.0944, 0.0041]","[0.0654, 0.0017]","[0.0791, 0.0026]","[0.0643, 0.0029]","[0.089, 0.0034]","[0.1112, 0.0038]","[0.0362, 0.002]","[0.2188, 0.0052]"
MMP,Cosine,0,32,0.2,30,10,3,0.0001,0.0001,3,,25,1.0,,"[0.1579, 0.0037]","[0.0906, 0.0031]","[0.0862, 0.0027]","[0.082, 0.0024]","[0.0959, 0.004]","[0.0675, 0.0017]","[0.0834, 0.0027]","[0.0733, 0.0031]","[0.1021, 0.0038]","[0.1268, 0.0042]","[0.0409, 0.0023]","[0.2422, 0.0057]"
MMP,Cosine,0,32,0.2,30,10,3,0.0001,0.0001,3,,50,1.0,,"[0.1561, 0.0038]","[0.092, 0.0032]","[0.0866, 0.0027]","[0.0832, 0.0024]","[0.0973, 0.0041]","[0.0679, 0.0017]","[0.0856, 0.0028]","[0.0735, 0.0031]","[0.1, 0.0037]","[0.1245, 0.0041]","[0.041, 0.0023]","[0.2326, 0.0055]"
MMP,Cosine,0,32,0.2,30,10,3,0.0001,0.0001,5,,25,1.0,,"[0.1586, 0.0037]","[0.0898, 0.0031]","[0.0857, 0.0026]","[0.0825, 0.0024]","[0.0946, 0.0039]","[0.0681, 0.0017]","[0.084, 0.0027]","[0.072, 0.0031]","[0.1005, 0.0036]","[0.1266, 0.0041]","[0.0397, 0.0022]","[0.2426, 0.0057]"
MMP,Cosine,0,32,0.2,30,10,3,0.0001,0.0001,5,,50,1.0,,"[0.1506, 0.0036]","[0.0843, 0.003]","[0.0808, 0.0026]","[0.0771, 0.0023]","[0.0884, 0.0039]","[0.0653, 0.0016]","[0.0789, 0.0026]","[0.067, 0.0029]","[0.0938, 0.0035]","[0.1175, 0.0039]","[0.0365, 0.0021]","[0.2319, 0.0054]"
MMP,Cosine,0,32,0.2,30,10,3,0.0001,0.001,1,,25,1.0,,"[0.1685, 0.0039]","[0.0904, 0.003]","[0.0857, 0.0025]","[0.0826, 0.0023]","[0.0953, 0.0038]","[0.0692, 0.0016]","[0.0881, 0.0028]","[0.0807, 0.0033]","[0.1109, 0.0039]","[0.1382, 0.0044]","[0.0444, 0.0024]","[0.2612, 0.0059]"
MMP,Cosine,0,32,0.2,30,10,3,0.0001,0.001,1,,50,1.0,,"[0.1579, 0.0037]","[0.0866, 0.0029]","[0.0818, 0.0024]","[0.0784, 0.0021]","[0.0916, 0.0038]","[0.0654, 0.0015]","[0.0835, 0.0027]","[0.0752, 0.0032]","[0.1041, 0.0038]","[0.129, 0.0043]","[0.0418, 0.0023]","[0.242, 0.0057]"
MMP,Cosine,0,32,0.2,30,10,3,0.0001,0.001,3,,25,1.0,,"[0.1631, 0.0037]","[0.0879, 0.0029]","[0.0845, 0.0025]","[0.0816, 0.0022]","[0.091, 0.0037]","[0.0686, 0.0016]","[0.0853, 0.0026]","[0.0769, 0.0033]","[0.1071, 0.0039]","[0.1337, 0.0043]","[0.0424, 0.0023]","[0.2536, 0.0058]"
MMP,Cosine,0,32,0.2,30,10,3,0.0001,0.001,3,,50,1.0,,"[0.1493, 0.0035]","[0.0818, 0.0027]","[0.0775, 0.0023]","[0.0738, 0.002]","[0.0877, 0.0036]","[0.0615, 0.0014]","[0.0787, 0.0026]","[0.0728, 0.0032]","[0.0987, 0.0037]","[0.1215, 0.0041]","[0.0407, 0.0023]","[0.2295, 0.0054]"
MMP,Cosine,0,32,0.2,30,10,3,0.0001,0.001,5,,25,1.0,,"[0.1731, 0.0038]","[0.0908, 0.0028]","[0.0865, 0.0024]","[0.0825, 0.0021]","[0.0967, 0.0038]","[0.0691, 0.0015]","[0.0897, 0.0027]","[0.086, 0.0035]","[0.1178, 0.0041]","[0.1443, 0.0045]","[0.0487, 0.0026]","[0.2685, 0.0059]"
MMP,Cosine,0,32,0.2,30,10,3,0.0001,0.001,5,,50,1.0,,"[0.1413, 0.0032]","[0.0799, 0.0026]","[0.0755, 0.0022]","[0.0721, 0.002]","[0.085, 0.0035]","[0.0597, 0.0014]","[0.0764, 0.0024]","[0.0673, 0.0028]","[0.0926, 0.0033]","[0.1146, 0.0037]","[0.0377, 0.0021]","[0.2142, 0.0049]"
MMP,Cosine,0,32,0.2,30,10,3,1e-05,0.0001,1,,25,1.0,,"[0.1278, 0.0033]","[0.0815, 0.0032]","[0.0782, 0.0028]","[0.0742, 0.0025]","[0.0865, 0.004]","[0.0602, 0.0017]","[0.0695, 0.0024]","[0.0524, 0.0024]","[0.076, 0.003]","[0.0958, 0.0034]","[0.0285, 0.0017]","[0.1898, 0.0048]"
MMP,Cosine,0,32,0.2,30,10,3,1e-05,0.0001,1,,50,1.0,,"[0.1478, 0.0036]","[0.0891, 0.0033]","[0.0851, 0.0028]","[0.0814, 0.0025]","[0.0946, 0.0042]","[0.0669, 0.0018]","[0.0803, 0.0027]","[0.065, 0.0029]","[0.0899, 0.0034]","[0.1135, 0.0038]","[0.0355, 0.002]","[0.22, 0.0052]"
MMP,Cosine,0,32,0.2,30,10,3,1e-05,0.0001,3,,25,1.0,,"[0.1515, 0.0036]","[0.0884, 0.0031]","[0.0847, 0.0027]","[0.0814, 0.0024]","[0.0939, 0.0041]","[0.0667, 0.0017]","[0.0818, 0.0027]","[0.0681, 0.003]","[0.0954, 0.0035]","[0.1198, 0.0039]","[0.0374, 0.0021]","[0.2294, 0.0054]"
MMP,Cosine,0,32,0.2,30,10,3,1e-05,0.0001,3,,50,1.0,,"[0.1566, 0.0037]","[0.0919, 0.0032]","[0.0875, 0.0027]","[0.0838, 0.0025]","[0.098, 0.0042]","[0.0679, 0.0017]","[0.0845, 0.0027]","[0.0725, 0.0031]","[0.1013, 0.0037]","[0.1267, 0.0042]","[0.0396, 0.0022]","[0.2378, 0.0055]"
MMP,Cosine,0,32,0.2,30,10,3,1e-05,0.0001,5,,25,1.0,,"[0.1576, 0.0037]","[0.0875, 0.003]","[0.0834, 0.0025]","[0.0805, 0.0023]","[0.092, 0.0039]","[0.067, 0.0016]","[0.0824, 0.0027]","[0.0734, 0.0032]","[0.1035, 0.0038]","[0.1302, 0.0043]","[0.04, 0.0023]","[0.2467, 0.0058]"
MMP,Cosine,0,32,0.2,30,10,3,1e-05,0.0001,5,,50,1.0,,"[0.1568, 0.0037]","[0.0893, 0.003]","[0.085, 0.0026]","[0.0819, 0.0023]","[0.0951, 0.004]","[0.0664, 0.0016]","[0.0846, 0.0027]","[0.0741, 0.0031]","[0.1034, 0.0037]","[0.1288, 0.0042]","[0.0411, 0.0022]","[0.2388, 0.0055]"
MMP,Cosine,0,32,0.2,30,10,3,1e-05,0.001,1,,25,1.0,,"[0.1252, 0.0033]","[0.0814, 0.0032]","[0.0776, 0.0028]","[0.0736, 0.0025]","[0.0858, 0.0041]","[0.059, 0.0017]","[0.0679, 0.0024]","[0.0516, 0.0024]","[0.0748, 0.003]","[0.0956, 0.0035]","[0.0273, 0.0017]","[0.1854, 0.0048]"
MMP,Cosine,0,32,0.2,30,10,3,1e-05,0.001,1,,50,1.0,,"[0.1648, 0.0037]","[0.0899, 0.0029]","[0.0851, 0.0025]","[0.0812, 0.0022]","[0.0951, 0.0038]","[0.0682, 0.0015]","[0.0872, 0.0027]","[0.0811, 0.0033]","[0.1099, 0.0038]","[0.1353, 0.0043]","[0.0451, 0.0024]","[0.2543, 0.0057]"
MMP,Cosine,0,32,0.2,30,10,3,1e-05,0.001,3,,25,1.0,,"[0.169, 0.0036]","[0.0912, 0.0029]","[0.0875, 0.0025]","[0.0838, 0.0022]","[0.0965, 0.0038]","[0.0703, 0.0015]","[0.087, 0.0026]","[0.0811, 0.0033]","[0.1128, 0.004]","[0.1408, 0.0044]","[0.0438, 0.0023]","[0.2651, 0.0058]"
MMP,Cosine,0,32,0.2,30,10,3,1e-05,0.001,3,,50,1.0,,"[0.165, 0.0037]","[0.0894, 0.0028]","[0.0845, 0.0023]","[0.0801, 0.0021]","[0.0971, 0.0038]","[0.0652, 0.0014]","[0.0864, 0.0027]","[0.0834, 0.0034]","[0.1135, 0.0039]","[0.1397, 0.0044]","[0.0482, 0.0026]","[0.2549, 0.0057]"
MMP,Cosine,0,32,0.2,30,10,3,1e-05,0.001,5,,25,1.0,,"[0.1727, 0.0038]","[0.0909, 0.0029]","[0.0861, 0.0024]","[0.0826, 0.0022]","[0.0946, 0.0038]","[0.0685, 0.0015]","[0.0891, 0.0028]","[0.0861, 0.0036]","[0.1169, 0.0041]","[0.145, 0.0046]","[0.0476, 0.0026]","[0.2698, 0.006]"
MMP,Cosine,0,32,0.2,30,10,3,1e-05,0.001,5,,50,1.0,,"[0.1543, 0.0036]","[0.0858, 0.0028]","[0.082, 0.0024]","[0.0788, 0.0022]","[0.0921, 0.0038]","[0.0655, 0.0015]","[0.0821, 0.0026]","[0.0702, 0.003]","[0.0983, 0.0036]","[0.1248, 0.0041]","[0.0395, 0.0021]","[0.2346, 0.0054]"
MMP,Cosine,0,32,0.2,30,10,3,1e-06,0.0001,1,,25,1.0,,"[0.1507, 0.0037]","[0.091, 0.0034]","[0.0865, 0.0029]","[0.0825, 0.0026]","[0.0959, 0.0043]","[0.068, 0.0018]","[0.0814, 0.0027]","[0.065, 0.0029]","[0.091, 0.0035]","[0.1146, 0.0039]","[0.0359, 0.002]","[0.2268, 0.0053]"
MMP,Cosine,0,32,0.2,30,10,3,1e-06,0.0001,1,,50,1.0,,"[0.1462, 0.0037]","[0.0865, 0.0032]","[0.0823, 0.0027]","[0.0781, 0.0024]","[0.094, 0.0042]","[0.0644, 0.0017]","[0.079, 0.0027]","[0.0645, 0.0029]","[0.0902, 0.0034]","[0.1119, 0.0039]","[0.0365, 0.0021]","[0.219, 0.0053]"
MMP,Cosine,0,32,0.2,30,10,3,1e-06,0.0001,3,,25,1.0,,"[0.1513, 0.0036]","[0.0869, 0.0032]","[0.0834, 0.0027]","[0.0798, 0.0024]","[0.092, 0.0041]","[0.0669, 0.0017]","[0.0803, 0.0027]","[0.0659, 0.0029]","[0.0933, 0.0035]","[0.1171, 0.004]","[0.0362, 0.0021]","[0.2326, 0.0055]"
MMP,Cosine,0,32,0.2,30,10,3,1e-06,0.0001,3,,50,1.0,,"[0.1596, 0.0037]","[0.0885, 0.003]","[0.0843, 0.0025]","[0.0813, 0.0023]","[0.0918, 0.0039]","[0.0672, 0.0016]","[0.0843, 0.0027]","[0.0758, 0.0032]","[0.1056, 0.0039]","[0.1318, 0.0043]","[0.0414, 0.0023]","[0.2487, 0.0057]"
MMP,Cosine,0,32,0.2,30,10,3,1e-06,0.0001,5,,25,1.0,,"[0.1539, 0.0036]","[0.0891, 0.0031]","[0.0847, 0.0027]","[0.0807, 0.0024]","[0.0953, 0.004]","[0.0665, 0.0016]","[0.0824, 0.0027]","[0.0705, 0.003]","[0.098, 0.0036]","[0.1222, 0.004]","[0.0394, 0.0022]","[0.2349, 0.0055]"
MMP,Cosine,0,32,0.2,30,10,3,1e-06,0.0001,5,,50,1.0,,"[0.155, 0.0038]","[0.0911, 0.0032]","[0.0865, 0.0028]","[0.0823, 0.0025]","[0.0971, 0.0042]","[0.0675, 0.0017]","[0.0839, 0.0027]","[0.0716, 0.0031]","[0.098, 0.0036]","[0.1224, 0.0041]","[0.0397, 0.0022]","[0.2317, 0.0056]"
