model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,5,,40,0.9,,"[0.1488, 0.0004]","[0.0986, 0.0004]","[0.0931, 0.0003]","[0.0887, 0.0003]","[0.1065, 0.0005]","[0.0731, 0.0002]","[0.0823, 0.0003]","[0.0735, 0.0004]","[0.0997, 0.0004]","[0.1225, 0.0005]","[0.0421, 0.0003]","[0.223, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,5,,40,1.0,,"[0.1522, 0.0004]","[0.1019, 0.0004]","[0.0961, 0.0003]","[0.0914, 0.0003]","[0.1109, 0.0005]","[0.0748, 0.0002]","[0.0836, 0.0003]","[0.0743, 0.0004]","[0.1015, 0.0005]","[0.1252, 0.0005]","[0.0423, 0.0003]","[0.228, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,4,,60,0.9,,"[0.1479, 0.0004]","[0.1004, 0.0004]","[0.0941, 0.0003]","[0.0893, 0.0003]","[0.1098, 0.0005]","[0.0724, 0.0002]","[0.0824, 0.0003]","[0.0735, 0.0004]","[0.0994, 0.0004]","[0.1216, 0.0005]","[0.0427, 0.0003]","[0.2181, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,4,,60,1.0,,"[0.1516, 0.0004]","[0.102, 0.0004]","[0.0958, 0.0003]","[0.091, 0.0003]","[0.1114, 0.0005]","[0.0739, 0.0002]","[0.0846, 0.0003]","[0.0755, 0.0004]","[0.102, 0.0005]","[0.125, 0.0005]","[0.0439, 0.0003]","[0.2236, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,4,,60,1.1,,"[0.1532, 0.0004]","[0.1014, 0.0004]","[0.0952, 0.0003]","[0.0905, 0.0003]","[0.1108, 0.0005]","[0.074, 0.0002]","[0.0838, 0.0003]","[0.0762, 0.0004]","[0.1031, 0.0005]","[0.1267, 0.0005]","[0.0442, 0.0003]","[0.2297, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,5,,60,0.9,,"[0.154, 0.0004]","[0.103, 0.0004]","[0.0971, 0.0003]","[0.0922, 0.0003]","[0.1117, 0.0005]","[0.075, 0.0002]","[0.0849, 0.0003]","[0.0772, 0.0004]","[0.1051, 0.0005]","[0.1288, 0.0005]","[0.0441, 0.0003]","[0.2298, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,5,,60,1.0,,"[0.1512, 0.0004]","[0.1012, 0.0004]","[0.0953, 0.0003]","[0.0907, 0.0003]","[0.1098, 0.0005]","[0.0739, 0.0002]","[0.083, 0.0003]","[0.0751, 0.0004]","[0.1019, 0.0005]","[0.1253, 0.0005]","[0.043, 0.0003]","[0.2261, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,5,,60,1.1,,"[0.1487, 0.0004]","[0.0988, 0.0004]","[0.0928, 0.0003]","[0.0884, 0.0003]","[0.1077, 0.0005]","[0.0722, 0.0002]","[0.0815, 0.0003]","[0.0739, 0.0004]","[0.1002, 0.0005]","[0.1231, 0.0005]","[0.0429, 0.0003]","[0.2228, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,0.0001,5,,60,0.9,,"[0.15, 0.0004]","[0.1024, 0.0004]","[0.096, 0.0003]","[0.091, 0.0003]","[0.1119, 0.0005]","[0.0737, 0.0002]","[0.0832, 0.0003]","[0.0736, 0.0004]","[0.1, 0.0004]","[0.1229, 0.0005]","[0.0421, 0.0003]","[0.2226, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,0.0001,5,,60,1.0,,"[0.1518, 0.0004]","[0.1018, 0.0004]","[0.0958, 0.0003]","[0.091, 0.0003]","[0.1108, 0.0005]","[0.0741, 0.0002]","[0.0844, 0.0003]","[0.0756, 0.0004]","[0.1022, 0.0005]","[0.1253, 0.0005]","[0.0438, 0.0003]","[0.2253, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,3,,40,0.9,,"[0.1549, 0.0004]","[0.1022, 0.0004]","[0.0964, 0.0003]","[0.0918, 0.0003]","[0.1109, 0.0005]","[0.075, 0.0002]","[0.0847, 0.0003]","[0.0777, 0.0004]","[0.1057, 0.0005]","[0.1298, 0.0005]","[0.0441, 0.0003]","[0.2332, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,3,,40,1.0,,"[0.1496, 0.0004]","[0.1015, 0.0004]","[0.0954, 0.0003]","[0.0906, 0.0003]","[0.1107, 0.0005]","[0.0738, 0.0002]","[0.0842, 0.0003]","[0.0744, 0.0004]","[0.1003, 0.0005]","[0.1226, 0.0005]","[0.0432, 0.0003]","[0.2198, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,3,,40,1.1,,"[0.1558, 0.0004]","[0.1023, 0.0004]","[0.0963, 0.0003]","[0.0918, 0.0003]","[0.1112, 0.0005]","[0.0754, 0.0002]","[0.0846, 0.0003]","[0.077, 0.0004]","[0.1049, 0.0005]","[0.1295, 0.0005]","[0.0441, 0.0003]","[0.2355, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,0.0001,3,,40,0.9,,"[0.1526, 0.0004]","[0.1019, 0.0004]","[0.0957, 0.0003]","[0.0909, 0.0003]","[0.1113, 0.0005]","[0.0735, 0.0002]","[0.0831, 0.0003]","[0.076, 0.0004]","[0.1036, 0.0005]","[0.1274, 0.0005]","[0.0435, 0.0003]","[0.2286, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,0.0001,3,,40,1.0,,"[0.157, 0.0004]","[0.102, 0.0004]","[0.0963, 0.0003]","[0.0918, 0.0003]","[0.1106, 0.0005]","[0.0751, 0.0002]","[0.0841, 0.0003]","[0.0786, 0.0004]","[0.1074, 0.0005]","[0.1326, 0.0005]","[0.0447, 0.0003]","[0.2396, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,5,,40,0.9,,"[0.1506, 0.0004]","[0.0994, 0.0004]","[0.0937, 0.0003]","[0.0892, 0.0003]","[0.1081, 0.0005]","[0.0729, 0.0002]","[0.0816, 0.0003]","[0.0745, 0.0004]","[0.1016, 0.0005]","[0.1254, 0.0005]","[0.0425, 0.0003]","[0.2273, 0.0006]"
